movie_id,tmdb_id,imdb_id,title,genres,overview,keyword_names,top_cast,director,release_year,vote_average,vote_count,has_content_features,metadata_soup
1,862.0,114709,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.","['jealousy', 'toy', 'boy', 'friendship', 'friends', 'rivalry', 'boy next door', 'new toy', 'toy comes to life']","['Tom Hanks', 'Tim Allen', 'Don Rickles']",John Lasseter,1995.0,7.7,5269.0,True,Adventure Animation Children Comedy Fantasy jealousy toy boy friendship friends rivalry boynextdoor newtoy toycomestolife TomHanks TimAllen DonRickles JohnLasseter
2,8844.0,113497,Jumanji (1995),Adventure|Children|Fantasy,,[],[],,1995.0,,,False,Adventure Children Fantasy
3,15602.0,113228,Grumpier Old Men (1995),Comedy|Romance,,[],[],,1995.0,,,False,Comedy Romance
4,31357.0,114885,Waiting to Exhale (1995),Comedy|Drama|Romance,,[],[],,1995.0,,,False,Comedy Drama Romance
5,11862.0,113041,Father of the Bride Part II (1995),Comedy,,[],[],,1995.0,,,False,Comedy
6,949.0,113277,Heat (1995),Action|Crime|Thriller,,[],[],,1995.0,,,False,Action Crime Thriller
7,11860.0,114319,Sabrina (1995),Comedy|Romance,,[],[],,1995.0,,,False,Comedy Romance
8,45325.0,112302,Tom and Huck (1995),Adventure|Children,,[],[],,1995.0,,,False,Adventure Children
9,9091.0,114576,Sudden Death (1995),Action,,[],[],,1995.0,,,False,Action
10,710.0,113189,GoldenEye (1995),Action|Adventure|Thriller,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,"['cuba', 'falsely accused', 'secret identity', 'computer virus', 'secret base', 'secret intelligence service', 'kgb', 'satellite', 'special car', 'cossack', 'electromagnetic pulse', 'time bomb', 'st. petersburg russia', 'ejection seat', 'red army']","['Pierce Brosnan', 'Sean Bean', 'Izabella Scorupco']",Martin Campbell,1995.0,6.6,1174.0,True,Action Adventure Thriller cuba falselyaccused secretidentity computervirus secretbase secretintelligenceservice kgb satellite specialcar cossack electromagneticpulse timebomb st.petersburgrussia ejectionseat redarmy PierceBrosnan SeanBean IzabellaScorupco MartinCampbell
11,9087.0,112346,"American President, The (1995)",Comedy|Drama|Romance,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.","['white house', 'usa president', 'new love', 'widower', 'wildlife conservation']","['Michael Douglas', 'Annette Bening', 'Michael J. Fox']",Rob Reiner,1995.0,6.5,195.0,True,Comedy Drama Romance whitehouse usapresident newlove widower wildlifeconservation MichaelDouglas AnnetteBening MichaelJ.Fox RobReiner
12,12110.0,112896,Dracula: Dead and Loving It (1995),Comedy|Horror,,[],[],,1995.0,,,False,Comedy Horror
13,21032.0,112453,Balto (1995),Adventure|Animation|Children,,[],[],,1995.0,,,False,Adventure Animation Children
14,10858.0,113987,Nixon (1995),Drama,"An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands from within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.","['usa president', 'presidential election', 'watergate scandal', 'biography', 'government', 'historical figure']","['Anthony Hopkins', 'Joan Allen', 'Powers Boothe']",Oliver Stone,1995.0,7.1,71.0,True,Drama usapresident presidentialelection watergatescandal biography government historicalfigure AnthonyHopkins JoanAllen PowersBoothe OliverStone
15,1408.0,112760,Cutthroat Island (1995),Action|Adventure|Romance,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.","['exotic island', 'treasure', 'map', 'ship', 'scalp', 'pirate']","['Geena Davis', 'Matthew Modine', 'Frank Langella']",Renny Harlin,1995.0,5.7,136.0,True,Action Adventure Romance exoticisland treasure map ship scalp pirate GeenaDavis MatthewModine FrankLangella RennyHarlin
